课程名称,上课时间,上课地点,教师信息,考试时间
微观经济学（甲）,周一 春夏{第1-8周|1节/周},紫金港东1B-312,张皓辰,2026年06月29日(18:30-20:30)
微观经济学（甲）,周一 春夏{第1-8周|2节/周},紫金港东1B-312,张皓辰,2026年06月29日(18:30-20:30)
游泳（中级）,周一 春夏{第1-8周|2节/周},紫金港游泳馆,傅园慧,未安排
法理学,周二 春夏{第1-8周|1节/周},紫金港东1A-404,王凌皞/孙笑侠,2026年06月30日(10:30-12:30)
法理学,周二 春夏{第1-8周|1节/周},紫金港东1A-404,王凌皞/孙笑侠,2026年06月30日(10:30-12:30)
军事理论,周二 春夏{第1-8周|2节/周},紫金港西1-101,程春,2026年06月26日(14:00-16:00)
法理学,周二 春夏{第1-8周|2节/周},紫金港东1A-404,王凌皞/孙笑侠,2026年06月30日(10:30-12:30)
民法总论,周二 春夏{第1-8周|3节/周},紫金港东2-302,陆家豪,2026年06月28日(10:30-12:30)
金融学,周二 春夏{第1-8周|3节/周},紫金港西2-204,严谷军,2026年07月01日(18:30-20:30)
宪法学,周三 春夏{第1-8周|1节/周},紫金港东1A-207,余军,2026年07月01日(08:00-10:00)
宪法学,周三 春夏{第1-8周|2节/周},紫金港东1A-207,余军,2026年07月01日(08:00-10:00)
中国法律史,周四 春夏{第1-8周|1节/周},紫金港东2-301,彭巍,2026年07月03日(08:00-10:00)
身体素质课,周四 春夏{第1-8周|1节/周},紫金港田径场（东）,朱莉,未安排
刑法总论,周四 春夏{第1-8周|2节/周},紫金港东1B-212,李世阳,2026年06月29日(08:00-10:00)
刑法总论,周四 春夏{第1-8周|2节/周},紫金港东1B-212,李世阳,2026年06月29日(08:00-10:00)
中国法律史,周四 春夏{第1-8周|2节/周},紫金港东2-301,彭巍,2026年07月03日(08:00-10:00)
习近平法治思想概论,周四 春夏{第1-8周|2节/周},紫金港东2-201,郭栋/赵骏/陈林林/余军/王凌皞/彭巍/钭晓东,2026年06月26日(10:30-12:30)
形势与政策Ⅰ,周日 春夏{第1-8周|2节/单周},紫金港东2-203,沈黎勇/李济沅,2026年06月21日(18:30-20:30)
